Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_Pasien_Dalam_Perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawat,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_,Kasus_Sedang_Investigasi_Lapang,Jumlah_Spesimen_Diperiksa_Terki,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Suspek_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID
138,2020/07/17 00:00:00+00,83130,41834,3957,37339,1462,1489,84,-111,50.32358956,4.760014435,44.91639601,1175462,683805,600675,29176,13994,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,85
139,2020/07/18 00:00:00+00,84882,43268,4016,37598,1752,1434,59,259,50.97429373,4.731274004,44.29443227,1201014,697043,612161,25552,13238,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,86
140,2020/07/19 00:00:00+00,86521,45401,4143,36977,1639,2133,127,-621,52.47396586,4.788432866,42.73760128,1221518,707238,620717,20504,10195,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,87
141,2020/07/20 00:00:00+00,88214,46977,4239,36998,1693,1576,96,21,53.25345183,4.805359693,41.94118847,1235545,720497,632283,14027,13259,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,88
142,2020/07/21 00:00:00+00,89869,48466,4320,37083,1655,1489,81,85,53.92960865,4.806996851,41.2633945,1257807,737844,647975,22262,17347,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,89
143,2020/07/22 00:00:00+00,91751,50255,4459,37037,1882,1789,139,-46,54.77324498,4.859892535,40.36686249,1283109,749626,657875,25302,11782,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,90
144,2020/07/23 00:00:00+00,93657,52164,4576,36917,1906,1909,117,-120,55.69685128,4.885913493,39.41723523,1310924,762957,669300,27815,13331,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,91
145,2020/07/24 00:00:00+00,95418,53945,4665,36808,1761,1781,89,-109,56.53545453,4.889014651,38.57553082,1335889,777100,681682,24965,14143,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,92
146,2020/07/25 00:00:00+00,97286,55354,4714,37218,1868,1409,49,410,56.89821763,4.845507062,38.25627531,1361207,789258,691972,25318,12158,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,93
147,2020/07/26 00:00:00+00,98778,56655,4781,37342,1492,1301,67,124,57.35588896,4.840146591,37.80396445,1381699,796950,698172,20492,7692,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,94
148,2020/07/27 00:00:00+00,100303,58173,4838,37292,1525,1518,57,-50,57.99726828,4.823385143,37.17934658,1394759,807946,707643,13060,10996,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,95
149,2020/07/28 00:00:00+00,102051,60539,4901,36611,1748,2366,63,-681,59.32229963,4.80250071,35.87519966,1417322,823168,721117,22563,15222,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,96
150,2020/07/29 00:00:00+00,104432,62138,4975,37319,2381,1599,74,708,59.50091926,4.763865482,35.73521526,1447583,841027,736595,30261,17859,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,97
151,2020/07/30 00:00:00+00,106336,64292,5058,36986,1904,2154,83,-333,60.46117966,4.756620524,34.78219982,1477629,856003,749667,30046,14976,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,98
152,2020/07/31 00:00:00+00,108376,65907,5131,37338,2040,1615,73,352,60.81327969,4.73444305,34.45227726,1506191,866539,758163,28562,10536,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,99
153,2020/08/01 00:00:00+00,109936,67919,5193,36824,1560,2012,62,-514,61.78049047,4.723657401,33.49585213,1517381,875894,765958,11190,9355,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,100
154,2020/08/02 00:00:00+00,111455,68975,5236,37244,1519,1056,43,420,61.88596294,4.697860123,33.41617693,1537413,882352,770897,20032,6458,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,101
